keyword,impressions,clicks,cost,conversions,revenue,quality_score,ctr,cpc,conversion_rate,cpa,roas,CTR,Conversion Rate,CPA,ROAS
healthcare,960,17,71.22,1,59.61,8,0.017708333333333333,4.189411764705882,0.058823529411764705,71.22,0.8369839932603201,1.7708333333333333,5.88235294117647,71.22,0.8369839932603201
travel,3872,80,634.39,6,225.02,4,0.02066115702479339,7.929875,0.075,105.73166666666667,0.3547029429845994,2.066115702479339,7.5,105.73166666666667,0.3547029429845994
groceries,3192,136,1161.78,4,108.75,1,0.042606516290726815,8.5425,0.029411764705882353,290.445,0.09360636265041575,4.260651629072681,2.941176470588235,290.445,0.09360636265041575
insurance-life,3271,14,120.17,2,87.76,4,0.004280036686028737,8.583571428571428,0.14285714285714285,60.085,0.7302987434467838,0.42800366860287375,14.285714285714285,60.085,0.7302987434467838
shopping,3019,71,528.18,5,286.37,5,0.023517721099701887,7.439154929577464,0.07042253521126761,105.636,0.5421825892688099,2.351772109970189,7.042253521126761,105.636,0.5421825892688099
insurance,2533,72,646.9,4,101.23,1,0.0284247927358863,8.984722222222222,0.05555555555555555,161.725,0.1564847735353223,2.84247927358863,5.555555555555555,161.725,0.1564847735353223
groceries,1284,163,310.43,7,518.98,8,0.12694704049844235,1.904478527607362,0.04294478527607362,44.347142857142856,1.6718100699030378,12.694704049844235,4.294478527607362,44.347142857142856,1.6718100699030378
insurance-life,4655,128,632.43,15,441.14,4,0.02749731471535983,4.940859375,0.1171875,42.162,0.6975317426434546,2.749731471535983,11.71875,42.162,0.6975317426434546
healthcare,3485,165,996.04,8,590.38,9,0.047345767575322814,6.0366060606060605,0.048484848484848485,124.505,0.592727199710855,4.734576757532281,4.848484848484849,124.505,0.592727199710855
travel,4217,88,732.48,2,113.17,5,0.020867915579796063,8.323636363636364,0.022727272727272728,366.24,0.1545025120139799,2.0867915579796064,2.272727272727273,366.24,0.1545025120139799
credit card,4943,433,834.27,42,1154.55,1,0.08759862431721627,1.9267205542725172,0.09699769053117784,19.86357142857143,1.3839044913517207,8.759862431721627,9.699769053117784,19.86357142857143,1.3839044913517207
insurance,3004,32,201.19,3,115.18,6,0.010652463382157125,6.2871875,0.09375,67.06333333333333,0.5724936627068941,1.0652463382157125,9.375,67.06333333333333,0.5724936627068941
furniture,1182,22,182.92,2,98.91,8,0.018612521150592216,8.314545454545454,0.09090909090909091,91.46,0.540728187185655,1.8612521150592216,9.090909090909092,91.46,0.540728187185655
electronics,2147,76,558.5,1,42.29,9,0.035398230088495575,7.348684210526316,0.013157894736842105,558.5,0.07572068039391226,3.5398230088495577,1.3157894736842104,558.5,0.07572068039391226
furniture,2847,33,205.19,3,125.84,8,0.011591148577449948,6.217878787878788,0.09090909090909091,68.39666666666666,0.6132852478190945,1.1591148577449948,9.090909090909092,68.39666666666666,0.6132852478190945
credit card,1906,100,224.07,1,25.29,1,0.05246589716684155,2.2407,0.01,224.07,0.1128665149283706,5.246589716684155,1.0,224.07,0.1128665149283706
credit card,3105,64,324.33,1,69.67,8,0.020611916264090178,5.06765625,0.015625,324.33,0.2148120741220362,2.061191626409018,1.5625,324.33,0.2148120741220362
healthcare,4758,150,1376.74,13,341.71,1,0.031525851197982346,9.178266666666667,0.08666666666666667,105.90307692307692,0.24820227493934946,3.1525851197982346,8.666666666666668,105.90307692307692,0.24820227493934946
home loan,1367,30,16.87,1,66.36,7,0.021945866861741038,0.5623333333333334,0.03333333333333333,16.87,3.933609958506224,2.194586686174104,3.3333333333333335,16.87,3.933609958506224
furniture,3302,64,472.14,3,171.65,10,0.019382192610539067,7.3771875,0.046875,157.38,0.3635574194094972,1.9382192610539066,4.6875,157.38,0.3635574194094972
mobile,3656,47,373.25,4,97.46,1,0.012855579868708972,7.941489361702128,0.0851063829787234,93.3125,0.26111185532484926,1.2855579868708973,8.51063829787234,93.3125,0.26111185532484926
travel,3990,207,1904.43,7,391.63,7,0.0518796992481203,9.200144927536233,0.033816425120772944,272.06142857142856,0.20564158304584573,5.18796992481203,3.3816425120772946,272.06142857142856,0.20564158304584573
insurance,746,28,275.89,1,32.16,6,0.03753351206434316,9.853214285714285,0.03571428571428571,275.89,0.11656819747000616,3.753351206434316,3.571428571428571,275.89,0.11656819747000616
credit card,2988,37,52.85,2,60.34,4,0.012382864792503346,1.4283783783783783,0.05405405405405406,26.425,1.1417218543046357,1.2382864792503345,5.405405405405405,26.425,1.1417218543046357
education,2463,213,1762.57,23,655.91,2,0.08647990255785627,8.274976525821597,0.107981220657277,76.63347826086957,0.3721327379905479,8.647990255785627,10.7981220657277,76.63347826086957,0.3721327379905479
education,2141,82,707.22,11,491.92,9,0.03829985987856142,8.624634146341464,0.13414634146341464,64.29272727272728,0.6955685642374367,3.8299859878561415,13.414634146341465,64.29272727272728,0.6955685642374367
travel,2924,154,1076.46,2,138.73,7,0.052667578659370724,6.99,0.012987012987012988,538.23,0.12887613102205375,5.266757865937072,1.2987012987012987,538.23,0.12887613102205375
travel,1463,74,350.31,4,158.3,7,0.050580997949419004,4.733918918918919,0.05405405405405406,87.5775,0.45188547286688935,5.0580997949419,5.405405405405405,87.5775,0.45188547286688935
home loan,1578,44,50.22,4,153.86,4,0.02788339670468948,1.1413636363636364,0.09090909090909091,12.555,3.063719633612107,2.788339670468948,9.090909090909092,12.555,3.063719633612107
groceries,4114,87,44.58,1,39.15,4,0.021147301895964997,0.5124137931034483,0.011494252873563218,44.58,0.8781965006729475,2.1147301895964996,1.1494252873563218,44.58,0.8781965006729475
insurance,3252,232,2252.52,13,537.63,4,0.07134071340713408,9.709137931034483,0.05603448275862069,173.27076923076922,0.23867934579937136,7.134071340713407,5.603448275862069,173.27076923076922,0.23867934579937136
education,1685,145,484.63,3,194.73,10,0.08605341246290801,3.3422758620689654,0.020689655172413793,161.54333333333332,0.40181169139343414,8.605341246290802,2.0689655172413794,161.54333333333332,0.40181169139343414
shopping,4043,314,2629.23,83,4895.3,5,0.07766510017313875,8.373343949044585,0.2643312101910828,31.67746987951807,1.8618759104376568,7.766510017313875,26.43312101910828,31.67746987951807,1.8618759104376568
healthcare,3173,205,1424.42,26,1172.1,4,0.06460762685156003,6.948390243902439,0.12682926829268293,54.785384615384615,0.8228612347481781,6.460762685156003,12.682926829268293,54.785384615384615,0.8228612347481781
loan,3561,51,435.5,3,88.3,4,0.014321819713563605,8.53921568627451,0.058823529411764705,145.16666666666666,0.20275545350172214,1.4321819713563606,5.88235294117647,145.16666666666666,0.20275545350172214
furniture,3943,142,275.68,20,1486.35,9,0.036013187927973624,1.9414084507042253,0.14084507042253522,13.784,5.391577190946024,3.6013187927973624,14.084507042253522,13.784,5.391577190946024
healthcare,1600,82,640.63,3,142.85,10,0.05125,7.812560975609756,0.036585365853658534,213.54333333333332,0.22298362549365466,5.125,3.6585365853658534,213.54333333333332,0.22298362549365466
insurance,4397,41,173.41,2,65.53,4,0.009324539458721855,4.229512195121951,0.04878048780487805,86.705,0.3778905484112796,0.9324539458721856,4.878048780487805,86.705,0.3778905484112796
fashion,2081,134,292.01,8,305.02,4,0.06439211917347429,2.179179104477612,0.05970149253731343,36.50125,1.0445532687236738,6.4392119173474285,5.970149253731343,36.50125,1.0445532687236738
data plan,1095,122,1119.48,5,122.57,1,0.11141552511415526,9.176065573770492,0.040983606557377046,223.89600000000002,0.10948833386929645,11.141552511415526,4.098360655737705,223.89600000000002,0.10948833386929645
groceries,3442,193,1708.76,13,554.35,9,0.05607205113306217,8.853678756476684,0.06735751295336788,131.44307692307692,0.3244165359676022,5.607205113306217,6.7357512953367875,131.44307692307692,0.3244165359676022
furniture,3898,392,2101.31,75,5294.83,9,0.10056439199589533,5.3604846938775506,0.1913265306122449,28.017466666666667,2.5197757589313334,10.056439199589533,19.132653061224488,28.017466666666667,2.5197757589313334
travel,1116,35,280.04,1,27.18,1,0.03136200716845878,8.001142857142858,0.02857142857142857,280.04,0.09705756320525638,3.136200716845878,2.857142857142857,280.04,0.09705756320525638
insurance,978,22,107.72,2,56.63,3,0.022494887525562373,4.8963636363636365,0.09090909090909091,53.86,0.5257148161901226,2.2494887525562373,9.090909090909092,53.86,0.5257148161901226
healthcare,1176,51,442.44,13,339.63,1,0.04336734693877551,8.67529411764706,0.2549019607843137,34.033846153846156,0.7676295090859777,4.336734693877551,25.49019607843137,34.033846153846156,0.7676295090859777
fashion,4093,413,2698.4,10,600.95,6,0.10090398240899096,6.533656174334141,0.024213075060532687,269.84000000000003,0.2227060480284613,10.090398240899095,2.4213075060532687,269.84000000000003,0.2227060480284613
mobile,4959,61,71.47,2,88.61,9,0.012300867110304496,1.171639344262295,0.03278688524590164,35.735,1.2398209038757522,1.2300867110304496,3.278688524590164,35.735,1.2398209038757522
shopping,3984,13,47.37,2,148.14,9,0.003263052208835341,3.6438461538461535,0.15384615384615385,23.685,3.127295756808106,0.32630522088353414,15.384615384615385,23.685,3.127295756808106
loan,2668,53,277.6,7,294.02,9,0.019865067466266866,5.237735849056604,0.1320754716981132,39.65714285714286,1.0591498559077808,1.9865067466266866,13.20754716981132,39.65714285714286,1.0591498559077808
shopping,2127,56,220.78,1,62.74,7,0.026328161730136343,3.9425,0.017857142857142856,220.78,0.28417429114956066,2.632816173013634,1.7857142857142856,220.78,0.28417429114956066
home loan,2795,34,163.68,2,77.35,9,0.012164579606440072,4.814117647058824,0.058823529411764705,81.84,0.4725684261974584,1.2164579606440071,5.88235294117647,81.84,0.4725684261974584
insurance,4574,131,1101.56,1,44.97,8,0.028640139921294272,8.408854961832061,0.007633587786259542,1101.56,0.04082392243727078,2.8640139921294274,0.7633587786259541,1101.56,0.04082392243727078
credit card,3661,42,204.45,2,135.35,7,0.011472275334608031,4.867857142857143,0.047619047619047616,102.225,0.6620200538028858,1.147227533460803,4.761904761904762,102.225,0.6620200538028858
mobile,2378,31,120.09,1,46.77,7,0.013036164844407064,3.8738709677419356,0.03225806451612903,120.09,0.38945790657007245,1.3036164844407065,3.225806451612903,120.09,0.38945790657007245
groceries,3199,329,1520.6,16,946.24,8,0.10284463894967177,4.6218844984802425,0.0486322188449848,95.0375,0.6222806786794687,10.284463894967178,4.86322188449848,95.0375,0.6222806786794687
home loan,4975,150,416.78,12,613.64,10,0.03015075376884422,2.7785333333333333,0.08,34.73166666666666,1.4723355247372716,3.015075376884422,8.0,34.73166666666666,1.4723355247372716
shopping,3204,37,199.71,4,171.75,3,0.011548064918851436,5.397567567567568,0.10810810810810811,49.9275,0.8599969956436833,1.1548064918851435,10.81081081081081,49.9275,0.8599969956436833
furniture,4698,284,1110.38,12,267.81,1,0.0604512558535547,3.9097887323943668,0.04225352112676056,92.53166666666668,0.24118770150759197,6.04512558535547,4.225352112676056,92.53166666666668,0.24118770150759197
fashion,3745,52,99.95,2,104.29,8,0.013885180240320427,1.9221153846153847,0.038461538461538464,49.975,1.0434217108554278,1.3885180240320427,3.8461538461538463,49.975,1.0434217108554278
furniture,2831,108,447.93,12,592.92,5,0.0381490639350053,4.1475,0.1111111111111111,37.3275,1.3236889692585894,3.81490639350053,11.11111111111111,37.3275,1.3236889692585894
healthcare,2790,165,134.94,4,165.25,8,0.05913978494623656,0.8178181818181818,0.024242424242424242,33.735,1.2246183488958056,5.913978494623656,2.4242424242424243,33.735,1.2246183488958056
shopping,3940,75,744.91,1,45.1,5,0.01903553299492386,9.932133333333333,0.013333333333333334,744.91,0.060544226819347305,1.903553299492386,1.3333333333333335,744.91,0.060544226819347305
healthcare,4593,361,2645.48,37,2364.36,6,0.07859786631831048,7.32819944598338,0.10249307479224377,71.49945945945946,0.893735730377852,7.859786631831048,10.249307479224377,71.49945945945946,0.893735730377852
education,970,94,882.18,7,531.67,9,0.09690721649484536,9.384893617021277,0.07446808510638298,126.02571428571427,0.6026774581151239,9.690721649484537,7.446808510638298,126.02571428571427,0.6026774581151239
healthcare,4588,210,606.13,15,1107.56,7,0.045771578029642546,2.8863333333333334,0.07142857142857142,40.40866666666667,1.827264778182898,4.577157802964255,7.142857142857142,40.40866666666667,1.827264778182898
data plan,1584,17,26.41,1,27.35,2,0.010732323232323232,1.5535294117647058,0.058823529411764705,26.41,1.035592578568724,1.073232323232323,5.88235294117647,26.41,1.035592578568724
loan,963,51,298.68,2,49.76,2,0.0529595015576324,5.856470588235294,0.0392156862745098,149.34,0.16659970537029595,5.29595015576324,3.9215686274509802,149.34,0.16659970537029595
insurance-life,2890,67,134.99,3,103.03,7,0.02318339100346021,2.014776119402985,0.04477611940298507,44.99666666666667,0.763241721609008,2.3183391003460208,4.477611940298507,44.99666666666667,0.763241721609008
insurance,663,43,401.76,1,42.28,3,0.06485671191553545,9.343255813953489,0.023255813953488372,401.76,0.10523695738749503,6.485671191553545,2.3255813953488373,401.76,0.10523695738749503
home loan,1857,33,304.82,4,111.73,3,0.017770597738287562,9.236969696969696,0.12121212121212122,76.205,0.36654419001377864,1.7770597738287561,12.121212121212121,76.205,0.36654419001377864
home loan,4736,124,824.86,5,476.61,10,0.026182432432432432,6.652096774193549,0.04032258064516129,164.972,0.5778071430303324,2.6182432432432434,4.032258064516129,164.972,0.5778071430303324
home loan,1159,39,167.58,2,65.79,2,0.03364969801553063,4.296923076923077,0.05128205128205128,83.79,0.3925886143931257,3.364969801553063,5.128205128205128,83.79,0.3925886143931257
credit card,1822,81,731.78,6,336.61,8,0.04445664105378705,9.03432098765432,0.07407407407407407,121.96333333333332,0.4599879745278636,4.445664105378705,7.4074074074074066,121.96333333333332,0.4599879745278636
furniture,3414,220,1018.74,41,911.79,1,0.06444053895723492,4.630636363636364,0.18636363636363637,24.847317073170732,0.8950173744036751,6.444053895723492,18.636363636363637,24.847317073170732,0.8950173744036751
furniture,3257,66,157.42,7,303.77,4,0.02026404666871354,2.385151515151515,0.10606060606060606,22.488571428571426,1.9296785668911194,2.026404666871354,10.606060606060606,22.488571428571426,1.9296785668911194
education,2725,178,1741.08,15,739.6,7,0.0653211009174312,9.781348314606742,0.08426966292134831,116.07199999999999,0.42479380614331336,6.532110091743119,8.426966292134832,116.07199999999999,0.42479380614331336
travel,2829,139,652.48,3,103.56,6,0.04913396960056557,4.69410071942446,0.02158273381294964,217.49333333333334,0.15871750858263856,4.913396960056557,2.158273381294964,217.49333333333334,0.15871750858263856
